tag,group_size,category,all_correct,per_member,gold,sample_idx
budget=3072_info_density_delay0_thumbattn,4,cross,0,0111,ABCD,"632,633,634,635"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"636,637,638,639"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"640,641,642,643"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1110,ABCD,"644,645,646,647"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"648,649,650,651"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"652,653,654,655"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1100,ABCD,"656,657,658,659"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"660,661,662,663"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"664,665,666,667"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1000,ABCD,"668,669,670,671"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"672,673,674,675"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"676,677,678,679"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1110,ABCD,"680,681,682,683"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"684,685,686,687"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"688,689,690,691"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"692,693,694,695"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0100,ABCD,"696,697,698,699"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"700,701,702,703"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0111,ABCD,"704,705,706,707"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"708,709,710,711"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"712,713,714,715"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"716,717,718,719"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"720,721,722,723"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"724,725,726,727"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"728,729,730,731"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"732,733,734,735"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"736,737,738,739"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"740,741,742,743"
budget=3072_info_density_delay0_thumbattn,4,single,0,1001,ABCD,"744,745,746,747"
budget=3072_info_density_delay0_thumbattn,4,single,1,1111,ABCD,"748,749,750,751"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0010,ABCD,"752,753,754,755"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"756,757,758,759"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"760,761,762,763"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1100,ABCD,"764,765,766,767"
budget=3072_info_density_delay0_thumbattn,4,cross,0,1011,ABCD,"768,769,770,771"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"772,773,774,775"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"776,777,778,779"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"780,781,782,783"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"784,785,786,787"
budget=3072_info_density_delay0_thumbattn,4,cross,0,0000,ABCD,"788,789,790,791"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"792,793,794,795"
budget=3072_info_density_delay0_thumbattn,4,cross,1,1111,ABCD,"796,797,798,799"
